Atomic Number,Atomic Mass,Period,Electronegativity,First Ionization,Covalent Radius,Bond E
747.0,3970.20204,12.0,1.96,126.93555167999999,205.0,259.0
2573.0,14570.712539999999,24.0,0.20999999999999996,43.70850007999999,270.0,159.0
83.0,210.44285999999997,6.0,0.18000000000000016,99.07250303999999,179.0,279.0
664.0,3343.47102,12.0,1.42,99.21602936,214.0,343.0
1245.0,6472.9465199999995,18.0,0.16999999999999993,76.40190152,255.0,280.0
6806.0,43300.655999999995,36.0,0.31000000000000005,54.03510951999999,294.0,142.0
1328.0,6700.943699999999,18.0,0.56,75.478816,253.0,316.0
4233.0,25445.4048,30.0,0.029999999999999805,62.71735903999999,287.0,251.0
2822.0,16501.0608,24.0,0.5299999999999998,71.05208544,268.0,280.0
4316.0,26665.847999999998,30.0,0.08000000000000007,65.64034176,286.0,232.0
6723.0,42711.95934,36.0,0.020000000000000018,44.50190192,293.0,121.0
25.0,116.877721,4.0,0.0,68.856804,168.0,297.0
175.0,863.842144,8.0,0.9199999999999999,98.0309124,204.0,435.0
30.0,129.850921,4.0,0.5099999999999998,93.43796940000001,160.0,448.0
85.0,383.28238300000004,6.0,1.12,107.60514479999999,186.0,536.0
45.0,205.387378,4.0,1.94,144.5743944,141.0,766.0
5.0,10.886676999999999,2.0,0.16000000000000014,112.8395232,115.0,330.0
265.0,1371.959144,10.0,0.6200000000000001,86.7248874,223.0,384.0
35.0,151.429677,4.0,1.0,120.60396180000001,155.0,389.0
40.0,172.965189,4.0,1.4,113.0029938,150.0,806.0
75.0,334.859914,6.0,0.1499999999999999,87.01863660000001,191.0,347.0
80.0,346.65471499999995,6.0,0.54,85.96728,189.0,581.0
170.0,853.6365599999999,8.0,0.5099999999999998,80.9254152,204.0,462.0
70.0,303.637746,6.0,0.14000000000000012,67.6428066,195.0,289.0
260.0,1379.4836,10.0,0.06000000000000005,74.7616608,222.0,354.0
1225.0,6384.649216,16.0,0.0,139.56587044000003,240.0,193.87
210.0,959.7269439999999,8.0,0.41000000000000014,133.02693214,196.0,280.0
595.0,2832.8365120000003,12.0,0.20000000000000018,153.19663288,222.0,218.84
315.0,1518.016192,8.0,1.02,205.82947464,177.0,233.8
245.0,1119.215328,8.0,0.08000000000000007,171.70295058000002,191.0,276.0
280.0,1278.384096,8.0,0.48,160.88150978000002,186.0,235.1
2304.0,12636.232921,25.0,0.0,80.88843844,288.0,11.3
1680.0,8982.088544,20.0,1.27,106.25095444,264.0,159.0
